Review    Liked
The rug was as pictured and good for the price.  However it had a very strong mustymoldy odor so I exchanged it and the replacement also had an odor but not as bad so I had to return it.  Maybe I had a bad draw or maybe that’s the way wool can smell.  It might not bother everyone and I didn’t give it time to air out since it irritated my throat.,0
"Really lovely rug. Gorgeous colors and nice thick pile. Good, heavy weight lays nicely. Very unique pattern.",1
This was an absolutely beautiful rug. Very nice quality exactly what I was looking for.,1
"This design catches the eye of everyone that comes to Customer’s house, even though it’s partially underneath a dining room table",1
"The color of the rug is mostly the same as pictured except for the orange flowers, which appear way darker in the photos. In real life, they are a much lighter orange. This is fine with me though. The quality seems great and it's a nice, thick, comfortable rug.",1
None,0
I laved this rug!!!!! it fit great in the reading room I had.,1
Vacuuming takes to much wool,0
Worst area carpet I have ever purchased.  Lacks backing ... continues to shed ....would not order again.,0
"Very pretty blue-grey color, thick and soft.",1
None,0
Lovely rug.... beautiful color....true to the picture.,1
None,0
The colors are very accurate from site.,1
Nice quality.  Love the colors.,1
High quality rug that looks great. Very happy with the purchase and with my Wayfair experience.,1
"Nice rug - beautiful colors and nice foot feel.  However, we did have to vacuum the rug quite thoroughly when we fist unrolled it and basically filled half a trash bag with what we pulled out of the rug when we were finally finished vacuuming.  We love the rug and hope it will last for many years.  I'd definitely recommend to a friend.",1
None,0
It is very pretty and looks as like picture,1
None,0
None,0
"Really like the rug! Color is a little darker than whats online but overall, good! Delivery was great.",1
"The rug is absolutely beautiful and perfect for the area.  I am concerned as the rug arrived with a musty smell, which has dissipated somewhat but there is still a lingering, faint smell. Hoping this resolves as we really like the rug.  The colors are a bit more muted than what the picture shows, however, I really like the colors.",1
It’s a beautiful rug awesome choice.,1
Definitely not cream; more of a light brown or beige. Overall it's quite dark. In the photo you see it is very light with blue flowers but the flowers are gray and the other designs (where blue in photo) are actually green.,0
Quick ordering and delivery. Awesome rug,1
Great Rug with excellent quality,1
Beautiful rug but it smelled of mildew. Wayfair offered to pay for cleaning but there was no guarantee that the smell would be gone. I opted to send it back.  Wayfair was great in resolving the issue.,1
None,0
Love this rug! Looks great in my office!!,1
Pattern is bigger than expected. Showing wear around edges.,1
None,0
Beautiful and durable,1
"Fabulous rug, looks great and of high quality. Be aware that will shed quite a bit for a while. Needs regular vacuuming and will have “fluff balls” coming off of it for a while after purchase. May also be a few inches bigger than quoted size",1
Great rug at a great price.,1
None,0
"Beautiful rug. Stands up perfectly to three dogs, vacuums up like new",1
None,0
This rug adds wonderful color to our play area for my grandson. The sides are finished well and the color is rich. The rug pad made it super comfortable as well.,1
Soft rug. The color is true to the pictures.,1
This rug is well made and looks amazing in a basement bar. I think it will wear very well also.,1
true to picture and for a wool rug the price can't be beat. it is thin however and because pf this it is liable to stretch a bit when placing it under heavy furniture. all in all though it is a bargain.,1
None,0
None,0
None,0
None,0
None,0
None,0
